signal_date,label,symbol,name,kind,score_25,annualized_return_25,r_squared_25,return_10d,qualified,rejection_reason
2014-01-14,国证成长100指数,980080.CN,国证成长100指数,index,-0.043896091442697405,-0.2095382214087923,0.209489663258426,-0.00017208172715776904,False,score_25_not_positive
2014-01-14,国证价值100指数,980081.CNI,国证价值100指数,index,-0.6432821974617602,-0.7249244391097839,0.8873782738677132,-0.05054469608281831,False,score_25_not_positive
2014-01-14,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.6293228752376557,-0.6745603618789318,0.9329378226208389,-0.05201155817227543,False,score_25_not_positive
2014-01-14,纳指ETF国泰,513100,纳指ETF国泰,etf,0.08648501922784065,0.25051453963035475,0.34522953979219373,0.0017064846416381396,True,
2014-01-14,黄金ETF易方达,159934,黄金ETF易方达,etf,0.003519119223204526,0.09096038488128677,0.03868848211006759,0.030874066954397428,True,
2014-01-15,国证成长100指数,980080.CN,国证成长100指数,index,-0.011700248090536521,-0.13175892283482893,0.08880042306663194,0.0001492243836265228,False,score_25_not_positive
2014-01-15,国证价值100指数,980081.CNI,国证价值100指数,index,-0.6160433741884428,-0.7051915253171801,0.8735830651273917,-0.06234787842910283,False,score_25_not_positive
2014-01-15,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.6429611359619007,-0.6873205761865031,0.9354603342872053,-0.06253545151831941,False,score_25_not_positive
2014-01-15,纳指ETF国泰,513100,纳指ETF国泰,etf,0.12035099977710735,0.2915855133846237,0.41274684184448884,0.005093378607809784,True,
2014-01-15,黄金ETF易方达,159934,黄金ETF易方达,etf,0.012827532572703115,0.14003502580257865,0.09160231520067963,0.03167730905645083,True,
2014-01-16,国证成长100指数,980080.CN,国证成长100指数,index,-0.00208375346125993,-0.07290068734657473,0.02858345424582387,-0.007928970012392456,False,score_25_not_positive
2014-01-16,国证价值100指数,980081.CNI,国证价值100指数,index,-0.5842784008637325,-0.6846998593024989,0.8533350678046504,-0.05320851777961999,False,score_25_not_positive
2014-01-16,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.6469041416896466,-0.689826063157793,0.9377786318022485,-0.05825428626556539,False,score_25_not_positive
2014-01-16,纳指ETF国泰,513100,纳指ETF国泰,etf,0.15555847083664523,0.3298319809985404,0.4716294349799076,0.013675213675213627,True,
2014-01-16,黄金ETF易方达,159934,黄金ETF易方达,etf,0.03426869038670284,0.19501983386921862,0.1757190010206019,0.008536090363317816,True,
2014-01-17,国证成长100指数,980080.CN,国证成长100指数,index,-0.00014054505319827158,-0.028206144239941167,0.004982781482030907,-0.01790700392727118,False,score_25_not_positive
2014-01-17,国证价值100指数,980081.CNI,国证价值100指数,index,-0.572703512558484,-0.6741869317154385,0.8494728770569098,-0.050715784423333465,False,score_25_not_positive
2014-01-17,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.6378255682590402,-0.6809052414308441,0.936731764494459,-0.04851657557563349,False,score_25_not_positive
2014-01-17,纳指ETF国泰,513100,纳指ETF国泰,etf,0.13744879191536974,0.30575516275392944,0.4495387442598573,0.013757523645743674,True,
2014-01-17,黄金ETF易方达,159934,黄金ETF易方达,etf,0.08282778786075418,0.2658716529908671,0.3115329781456595,0.006148431651896935,True,
2014-01-20,国证成长100指数,980080.CN,国证成长100指数,index,-7.5876734924912395e-06,-0.010550238166017967,0.0007191945217815965,-0.004010904077808686,False,score_25_not_positive
2014-01-20,国证价值100指数,980081.CNI,国证价值100指数,index,-0.5434499970546705,-0.6503144531788352,0.8356726417477035,-0.01671077576173008,False,score_25_not_positive
2014-01-20,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.6372117205603782,-0.678708563082128,0.9388591145317133,-0.05666660056383155,False,score_25_not_positive
2014-01-20,纳指ETF国泰,513100,纳指ETF国泰,etf,,,,,False,no_signal_date_close
2014-01-20,黄金ETF易方达,159934,黄金ETF易方达,etf,0.1267432444971055,0.31885068579786324,0.3975003038803402,0.005376564457289845,True,
2014-01-21,国证成长100指数,980080.CN,国证成长100指数,index,0.00010835872103955064,0.02493124286268178,0.004346302414058423,0.004416895781481189,True,
2014-01-21,国证价值100指数,980081.CNI,国证价值100指数,index,-0.4926106508554802,-0.6194297114843041,0.7952648084559351,-0.0044477120868239295,False,score_25_not_positive
2014-01-21,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.6296925717627893,-0.6721838298764643,0.9367862536629538,-0.046157077559836,False,score_25_not_positive
2014-01-21,纳指ETF国泰,513100,纳指ETF国泰,etf,0.13399515215512833,0.2970645962469123,0.45106402394634426,0.024137931034482696,True,
2014-01-21,黄金ETF易方达,159934,黄金ETF易方达,etf,0.16817427626745846,0.3564322718570889,0.47182673833442257,-0.00036632010987602825,False,return_10d_not_positive
2014-01-22,国证成长100指数,980080.CN,国证成长100指数,index,0.011342449806841216,0.1389968195083664,0.08160222548227802,0.025388776836190896,True,
2014-01-22,国证价值100指数,980081.CNI,国证价值100指数,index,-0.3424350823039492,-0.5521419290727329,0.6201939470147371,0.031385256938940786,False,score_25_not_positive
2014-01-22,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.5802548273608807,-0.6460480773769073,0.8981604429763785,-0.023170582807189533,False,score_25_not_positive
2014-01-22,纳指ETF国泰,513100,纳指ETF国泰,etf,0.1300303682144195,0.2862722513403737,0.4542192531955016,0.017948717948718107,True,
2014-01-22,黄金ETF易方达,159934,黄金ETF易方达,etf,0.21880222067539748,0.3866237602591074,0.5659306104952284,0.007394047046943575,True,
