signal_date,from_symbol,from_name,to_symbol,to_name,reason,selection_reason,rank_1_symbol
2014-01-14,,,513100,纳指ETF国泰,initial_entry_risk,top_ranked_risk_asset,513100
2014-01-20,513100,纳指ETF国泰,159934,黄金ETF易方达,risk_to_risk_rotation,top_ranked_risk_asset,159934
2014-01-21,159934,黄金ETF易方达,513100,纳指ETF国泰,risk_to_risk_rotation,top_ranked_risk_asset,513100
2014-01-22,513100,纳指ETF国泰,159934,黄金ETF易方达,risk_to_risk_rotation,top_ranked_risk_asset,159934
2014-01-28,159934,黄金ETF易方达,980080.CN,国证成长100指数,risk_to_risk_rotation,top_ranked_risk_asset,980080.CN
2014-02-24,980080.CN,国证成长100指数,399439.SZ,国证石油天然气指数,risk_to_risk_rotation,top_ranked_risk_asset,399439.SZ
2014-03-06,399439.SZ,国证石油天然气指数,159934,黄金ETF易方达,risk_to_risk_rotation,top_ranked_risk_asset,159934
2014-03-07,159934,黄金ETF易方达,399439.SZ,国证石油天然气指数,risk_to_risk_rotation,top_ranked_risk_asset,399439.SZ
2014-03-12,399439.SZ,国证石油天然气指数,159934,黄金ETF易方达,risk_to_risk_rotation,top_ranked_risk_asset,159934
2014-03-21,159934,黄金ETF易方达,511880,银华日利ETF,risk_to_defensive_fallback,fallback_defensive_asset,
2014-03-24,511880,银华日利ETF,159934,黄金ETF易方达,defensive_to_risk_reentry,top_ranked_risk_asset,159934
2014-03-25,159934,黄金ETF易方达,511880,银华日利ETF,risk_to_defensive_fallback,fallback_defensive_asset,
2014-03-26,511880,银华日利ETF,980081.CNI,国证价值100指数,defensive_to_risk_reentry,top_ranked_risk_asset,980081.CNI
2014-04-21,980081.CNI,国证价值100指数,399439.SZ,国证石油天然气指数,risk_to_risk_rotation,top_ranked_risk_asset,399439.SZ
2014-04-23,399439.SZ,国证石油天然气指数,511880,银华日利ETF,risk_to_defensive_fallback,fallback_defensive_asset,
2014-04-30,511880,银华日利ETF,159934,黄金ETF易方达,defensive_to_risk_reentry,top_ranked_risk_asset,159934
2014-05-12,159934,黄金ETF易方达,513100,纳指ETF国泰,risk_to_risk_rotation,top_ranked_risk_asset,513100
2014-05-15,513100,纳指ETF国泰,511880,银华日利ETF,risk_to_defensive_fallback,fallback_defensive_asset,
2014-05-16,511880,银华日利ETF,513100,纳指ETF国泰,defensive_to_risk_reentry,top_ranked_risk_asset,513100
2014-05-26,513100,纳指ETF国泰,159934,黄金ETF易方达,risk_to_risk_rotation,top_ranked_risk_asset,159934
